Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
02167;Chestnut Hill;MA;42.320797;-71.169847;-5;1;42.320797,-71.169847
02475;Arlington Heights;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
02601;Hyannis;MA;41.654741;-70.2895;-5;1;41.654741,-70.2895
01971;Salem;MA;42.635443;-70.879123;-5;1;42.635443,-70.879123
02762;Plainville;MA;42.011848;-71.32392;-5;1;42.011848,-71.32392
02188;Weymouth;MA;42.212866;-70.95872;-5;1;42.212866,-70.95872
01378;Warwick;MA;42.667152;-72.32729;-5;1;42.667152,-72.32729
01503;Berlin;MA;42.380562;-71.62665;-5;1;42.380562,-71.62665
01040;Holyoke;MA;42.201891;-72.6242;-5;1;42.201891,-72.6242
01534;Northbridge;MA;42.140741;-71.64376;-5;1;42.140741,-71.64376
01778;Wayland;MA;42.345583;-71.35643;-5;1;42.345583,-71.35643
01930;Gloucester;MA;42.624015;-70.67552;-5;1;42.624015,-70.67552
02152;Winthrop;MA;42.373047;-70.97803;-5;1;42.373047,-70.97803
02790;Westport;MA;41.602517;-71.08904;-5;1;41.602517,-71.08904
02673;West Yarmouth;MA;41.656883;-70.23726;-5;1;41.656883,-70.23726
02551;Oak Bluffs;MA;41.453321;-70.558023;-5;1;41.453321,-70.558023
01822;Billerica;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
02571;Wareham;MA;41.751554;-70.71059;-5;1;41.751554,-70.71059
01393;Whately;MA;42.459814;-72.593626;-5;1;42.459814,-72.593626
01468;Templeton;MA;42.557796;-72.06824;-5;1;42.557796,-72.06824
02739;Mattapoisett;MA;41.654776;-70.80087;-5;1;41.654776,-70.80087
01259;Southfield;MA;42.0645;-73.24674;-5;1;42.0645,-73.24674
02362;Plymouth;MA;41.970474;-70.701357;-5;1;41.970474,-70.701357
02477;Watertown;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
01441;Gardner;MA;42.364807;-71.896868;-5;1;42.364807,-71.896868
02761;North Attleboro;MA;41.756214;-71.067062;-5;1;41.756214,-71.067062
01201;Pittsfield;MA;42.45384;-73.254;-5;1;42.45384,-73.254
02445;Brookline;MA;42.324397;-71.13933;-5;1;42.324397,-71.13933
01085;Westfield;MA;42.133642;-72.75029;-5;1;42.133642,-72.75029
01340;Colrain;MA;42.673371;-72.73104;-5;1;42.673371,-72.73104
01886;Westford;MA;42.592086;-71.43754;-5;1;42.592086,-71.43754
02358;North Pembroke;MA;41.805219;-70.62642;-5;1;41.805219,-70.62642
01754;Maynard;MA;42.430781;-71.45594;-5;1;42.430781,-71.45594
01020;Chicopee;MA;42.175992;-72.57265;-5;1;42.175992,-72.57265
01966;Rockport;MA;42.659936;-70.61727;-5;1;42.659936,-70.61727
02053;Medway;MA;42.151526;-71.42315;-5;1;42.151526,-71.42315
02562;Sagamore Beach;MA;41.793263;-70.519584;-5;1;41.793263,-70.519584
02401;Brockton;MA;42.079399;-71.03459;-5;1;42.079399,-71.03459
02177;Melrose;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
01354;Northfield;MA;42.522178;-72.624164;-5;1;42.522178,-72.624164
02568;Vineyard Haven;MA;41.451263;-70.60872;-5;1;41.451263,-70.60872
01823;Haverhill;MA;42.800429;-71.11087;-5;1;42.800429,-71.11087
02191;Weymouth;MA;42.242749;-70.94434;-5;1;42.242749,-70.94434
02494;Needham;MA;42.29813;-71.23154;-5;1;42.29813,-71.23154
01813;Woburn;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
02330;Carver;MA;41.873697;-70.7656;-5;1;41.873697,-70.7656
01270;Windsor;MA;42.443726;-73.116127;-5;1;42.443726,-73.116127
01001;Agawam;MA;42.07061;-72.62029;-5;1;42.07061,-72.62029
02025;Cohasset;MA;42.241908;-70.81223;-5;1;42.241908,-70.81223
02652;North Truro;MA;42.02889;-70.07938;-5;1;42.02889,-70.07938
01885;West Boxford;MA;42.635443;-70.879123;-5;1;42.635443,-70.879123
02565;Silver Beach;MA;41.799312;-70.308662;-5;1;41.799312,-70.308662
02760;North Attleboro;MA;41.975495;-71.33086;-5;1;41.975495,-71.33086
01923;Danvers;MA;42.569756;-70.94322;-5;1;42.569756,-70.94322
02717;East Freetown;MA;41.765934;-70.95332;-5;1;41.765934,-70.95332
01095;Wilbraham;MA;42.12531;-72.44057;-5;1;42.12531,-72.44057
01535;North Brookfield;MA;42.267274;-72.07823;-5;1;42.267274,-72.07823
01536;North Grafton;MA;42.231444;-71.70523;-5;1;42.231444,-71.70523
01537;North Oxford;MA;42.170846;-71.88989;-5;1;42.170846,-71.88989
02061;Norwell;MA;42.15243;-70.8205;-5;1;42.15243,-70.8205
02196;Boston;MA;42.338947;-70.919635;-5;1;42.338947,-70.919635
01004;Amherst;MA;42.384494;-72.513183;-5;1;42.384494,-72.513183
01083;Warren;MA;42.20468;-72.20259;-5;1;42.20468,-72.20259
02334;Easton;MA;42.023528;-71.132397;-5;1;42.023528,-71.132397
02539;Edgartown;MA;41.380479;-70.52453;-5;1;41.380479,-70.52453
01254;Richmond;MA;42.374711;-73.36336;-5;1;42.374711,-73.36336
02145;Somerville;MA;42.390846;-71.09225;-5;1;42.390846,-71.09225
02283;Boston;MA;42.338947;-70.919635;-5;1;42.338947,-70.919635
02573;Vineyard Haven;MA;41.379836;-70.643092;-5;1;41.379836,-70.643092
02667;Wellfleet;MA;41.922412;-70.01484;-5;1;41.922412,-70.01484
01518;Fiskdale;MA;42.12515;-72.12393;-5;1;42.12515,-72.12393
02553;Monument Beach;MA;41.67336;-70.608047;-5;1;41.67336,-70.608047
01525;Linwood;MA;42.364807;-71.896868;-5;1;42.364807,-71.896868
02348;Middleboro;MA;41.970474;-70.701357;-5;1;41.970474,-70.701357
02065;Ocean Bluff;MA;42.097219;-70.651567;-5;1;42.097219,-70.651567
01070;Plainfield;MA;42.515853;-72.91661;-5;1;42.515853,-72.91661
02195;Newton;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
01803;Burlington;MA;42.506362;-71.20008;-5;1;42.506362,-71.20008
02744;New Bedford;MA;41.610754;-70.91453;-5;1;41.610754,-70.91453
01521;Holland;MA;42.054676;-72.16137;-5;1;42.054676,-72.16137
01367;Rowe;MA;42.694883;-72.90962;-5;1;42.694883,-72.90962
01601;Worcester;MA;42.265275;-71.879415;-5;1;42.265275,-71.879415
01845;North Andover;MA;42.683841;-71.11171;-5;1;42.683841,-71.11171
01026;Cummington;MA;42.465041;-72.91813;-5;1;42.465041,-72.91813
02332;Duxbury;MA;42.031371;-70.70105;-5;1;42.031371,-70.70105
01843;Lawrence;MA;42.691091;-71.16078;-5;1;42.691091,-71.16078
02187;Milton Village;MA;42.180048;-71.08923;-5;1;42.180048,-71.08923
02783;Taunton;MA;41.756214;-71.067062;-5;1;41.756214,-71.067062
01772;Southborough;MA;42.297643;-71.53369;-5;1;42.297643,-71.53369
02541;Falmouth;MA;41.799312;-70.308662;-5;1;41.799312,-70.308662
01430;Ashburnham;MA;42.658768;-71.93287;-5;1;42.658768,-71.93287
01432;Ayer;MA;42.549821;-71.59136;-5;1;42.549821,-71.59136
02151;Revere;MA;42.416247;-71.00525;-5;1;42.416247,-71.00525
01515;East Brookfield;MA;42.212777;-72.05311;-5;1;42.212777,-72.05311
02113;Boston;MA;42.365028;-71.05636;-5;1;42.365028,-71.05636
01856;Lowell;MA;42.641779;-71.303488;-5;1;42.641779,-71.303488
01569;Uxbridge;MA;42.064978;-71.62992;-5;1;42.064978,-71.62992
02359;Pembroke;MA;42.065554;-70.80426;-5;1;42.065554,-70.80426
